epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,31.4563,0.99787,0.77793,1.13898,0.99213,0.90988,0.98724,0.75187,0.86937,0.85799,1.04073,0.00141028,0.00141028,0.00141028
72,31.8899,0.98937,0.70505,1.02965,0.97601,0.88609,0.99381,0.74869,0.9237,0.87938,1.08079,0.00140661,0.00140661,0.00140661
73,32.3224,0.96181,0.77506,1.11008,0.97601,0.88609,0.99381,0.74869,0.9237,0.87938,1.08079,0.00140295,0.00140295,0.00140295
74,32.759,1.01491,0.80713,1.09176,0.95605,1,0.99381,0.78747,0.81855,0.76756,1.01713,0.00139928,0.00139928,0.00139928
75,33.1862,0.92098,0.79692,1.02594,0.95605,1,0.99381,0.78747,0.81855,0.76756,1.01713,0.00139561,0.00139561,0.00139561
76,33.6232,0.87328,0.74791,1.02139,0.98006,0.98796,0.995,0.79924,0.78156,0.68131,0.99231,0.00139195,0.00139195,0.00139195
77,34.0351,0.87959,0.69497,1.00949,0.98006,0.98796,0.995,0.79924,0.78156,0.68131,0.99231,0.00138828,0.00138828,0.00138828
78,34.4825,0.87574,0.70734,1.0177,0.97852,0.99723,0.995,0.79008,0.82185,0.67256,1.00642,0.00138461,0.00138461,0.00138461
79,34.9134,0.86881,0.71034,1.01573,0.97852,0.99723,0.995,0.79008,0.82185,0.67256,1.00642,0.00138094,0.00138094,0.00138094
80,35.3596,0.9598,0.82614,1.12047,0.99575,1,0.995,0.79515,0.80325,0.64842,1.01193,0.00137728,0.00137728,0.00137728
81,35.7757,0.93433,0.65103,1.01972,0.99575,1,0.995,0.79515,0.80325,0.64842,1.01193,0.00137361,0.00137361,0.00137361
82,36.2054,0.87065,0.66342,0.97627,0.91343,0.97878,0.995,0.79795,0.81019,0.7614,1.02606,0.00136994,0.00136994,0.00136994
83,36.6322,0.86809,0.66062,1.0272,0.91343,0.97878,0.995,0.79795,0.81019,0.7614,1.02606,0.00136627,0.00136627,0.00136627
84,37.0701,0.84975,0.67827,1.05389,0.80024,0.94272,0.98318,0.77957,0.81817,0.90783,1.02263,0.00136261,0.00136261,0.00136261
85,37.505,0.78328,0.62922,0.99125,0.80024,0.94272,0.98318,0.77957,0.81817,0.90783,1.02263,0.00135894,0.00135894,0.00135894
86,37.9421,0.87735,0.66117,1.02858,0.73361,0.93661,0.96052,0.76772,0.75645,0.97354,1.00058,0.00135527,0.00135527,0.00135527
87,38.3738,0.94044,0.69959,1.04802,0.73361,0.93661,0.96052,0.76772,0.75645,0.97354,1.00058,0.0013516,0.0013516,0.0013516
88,38.8167,0.74296,0.62381,0.97187,0.76191,0.88648,0.97605,0.75814,0.85188,0.94777,1.0495,0.00134794,0.00134794,0.00134794
89,39.2796,0.82852,0.64887,1.02568,0.76191,0.88648,0.97605,0.75814,0.85188,0.94777,1.0495,0.00134427,0.00134427,0.00134427
90,39.8062,0.95366,0.74696,1.10245,0.7642,0.9,0.96405,0.72901,0.87104,0.94243,1.05141,0.0013406,0.0013406,0.0013406
91,40.2382,0.96803,0.76727,1.055,0.7642,0.9,0.96405,0.72901,0.87104,0.94243,1.05141,0.00133693,0.00133693,0.00133693
92,40.6608,0.81397,0.6642,0.99486,0.73726,0.95979,0.94984,0.71332,0.86646,0.8853,1.03477,0.00133327,0.00133327,0.00133327
93,41.0678,0.90249,0.67706,1.03895,0.73726,0.95979,0.94984,0.71332,0.86646,0.8853,1.03477,0.0013296,0.0013296,0.0013296
94,41.4922,0.85044,0.70801,1.04931,0.95559,0.99477,0.98548,0.75775,0.87614,0.69608,1.03696,0.00132593,0.00132593,0.00132593
95,41.9131,0.81095,0.64315,1.01117,0.95559,0.99477,0.98548,0.75775,0.87614,0.69608,1.03696,0.00132226,0.00132226,0.00132226
96,42.3366,0.9016,0.66554,1.04317,0.96121,1,0.99143,0.7636,0.86946,0.64808,1.03292,0.0013186,0.0013186,0.0013186
97,42.7578,0.86571,0.70969,1.02704,0.96121,1,0.99143,0.7636,0.86946,0.64808,1.03292,0.00131493,0.00131493,0.00131493
98,43.1778,0.79595,0.6383,0.97108,0.95165,0.99483,0.98391,0.74309,0.84845,0.66832,1.02356,0.00131126,0.00131126,0.00131126
99,43.5833,0.77481,0.633,0.97006,0.95165,0.99483,0.98391,0.74309,0.84845,0.66832,1.02356,0.00130759,0.00130759,0.00130759
100,44.0114,0.7998,0.64007,0.96711,0.92978,1,0.97847,0.75946,0.85025,0.67044,1.0215,0.00130393,0.00130393,0.00130393
101,44.4294,0.95402,0.73472,1.08763,0.92978,1,0.97847,0.75946,0.85025,0.67044,1.0215,0.00130026,0.00130026,0.00130026
102,44.8585,0.81894,0.61759,0.97993,0.89806,0.99612,0.97213,0.74067,0.86451,0.70582,1.03476,0.00129659,0.00129659,0.00129659
103,45.2652,0.8233,0.63847,0.99411,0.89806,0.99612,0.97213,0.74067,0.86451,0.70582,1.03476,0.00129293,0.00129293,0.00129293
104,45.7224,0.91513,0.74957,1.06881,0.97408,1,0.995,0.79607,0.77176,0.69618,0.99067,0.00128926,0.00128926,0.00128926
105,46.1424,0.72509,0.65541,1.0238,0.97408,1,0.995,0.79607,0.77176,0.69618,0.99067,0.00128559,0.00128559,0.00128559
106,46.5726,0.70435,0.60862,0.98672,0.96287,1,0.995,0.80993,0.78182,0.63649,0.97794,0.00128192,0.00128192,0.00128192
107,47.0284,0.75776,0.59738,0.96432,0.96287,1,0.995,0.80993,0.78182,0.63649,0.97794,0.00127826,0.00127826,0.00127826
108,47.4681,0.8826,0.6874,1.07798,0.97257,1,0.995,0.81909,0.73741,0.56606,0.95267,0.00127459,0.00127459,0.00127459
109,47.8696,0.91498,0.63583,1.024,0.97257,1,0.995,0.81909,0.73741,0.56606,0.95267,0.00127092,0.00127092,0.00127092
110,48.2989,0.76544,0.64932,1.04094,0.99494,1,0.995,0.84992,0.66144,0.52838,0.92183,0.00126725,0.00126725,0.00126725
111,48.727,0.77215,0.61947,0.97443,0.99494,1,0.995,0.84992,0.66144,0.52838,0.92183,0.00126359,0.00126359,0.00126359
112,49.1459,0.79909,0.61567,0.9943,0.99639,1,0.995,0.83532,0.68612,0.50999,0.94202,0.00125992,0.00125992,0.00125992
113,49.5643,0.82295,0.71813,1.08534,0.99639,1,0.995,0.83532,0.68612,0.50999,0.94202,0.00125625,0.00125625,0.00125625
114,49.9855,0.80447,0.6215,1.03588,0.99511,1,0.995,0.85979,0.66513,0.49485,0.93207,0.00125258,0.00125258,0.00125258
115,50.4183,0.85847,0.66758,1.02406,0.99511,1,0.995,0.85979,0.66513,0.49485,0.93207,0.00124892,0.00124892,0.00124892
116,51.2423,0.82948,0.64711,1.01561,0.99259,1,0.995,0.81095,0.74613,0.50203,0.9766,0.00124525,0.00124525,0.00124525
117,51.6435,0.73663,0.57668,0.95978,0.99259,1,0.995,0.81095,0.74613,0.50203,0.9766,0.00124158,0.00124158,0.00124158
118,52.068,0.72748,0.57476,0.93646,0.98232,1,0.995,0.79342,0.8182,0.53044,0.98099,0.00123791,0.00123791,0.00123791
119,52.4832,0.75238,0.61867,1.02812,0.98232,1,0.995,0.79342,0.8182,0.53044,0.98099,0.00123425,0.00123425,0.00123425
120,52.9077,0.84145,0.59251,0.99804,0.98371,0.99628,0.995,0.81844,0.73407,0.51225,0.95401,0.00123058,0.00123058,0.00123058
121,53.3179,0.87485,0.5891,1.07448,0.98371,0.99628,0.995,0.81844,0.73407,0.51225,0.95401,0.00122691,0.00122691,0.00122691
122,53.7343,0.80833,0.61982,1.01001,0.99641,1,0.995,0.8349,0.62179,0.47482,0.91807,0.00122324,0.00122324,0.00122324
123,54.1422,0.82209,0.58873,0.96523,0.99641,1,0.995,0.8349,0.62179,0.47482,0.91807,0.00121958,0.00121958,0.00121958
124,54.5558,0.78401,0.59247,0.99525,0.99569,1,0.995,0.84805,0.63375,0.45308,0.91949,0.00121591,0.00121591,0.00121591
